id,channel,publishedAt,title,description,views,likes,commentCount
7r9Sl_LpjTA,CNET,2026-07-22 14:00:29+00:00,Galaxy Watch Ultra 2 and Galaxy Watch 9: The Biggest Upgrades Aren't What You Can See,"After a week of testing, here's what's actually new and whether the higher prices are worth it.   You can find the products mentioned in this video linked below Samsung’s Galaxy Watch Ultra 2 https://zdcs.link/z6xYyd Samsung’s Galaxy Watch 9 https://zdcs.link/aonxpb *Cnet may get commission on this offer.  Read more about it on CNET.com I Tested the Galaxy Watch Ultra 2 for a Week and It’s a Rugged Scene-Stealer https://zdcs.link/Qxo3wk Samsung’s Galaxy Watch 9 Looks Familiar, but Its Quiet Upgrades Surprised Me https://zdcs.link/z3Kvqm   0:00 Intro 0:20 Price 1:32 Battery 1:46 Gemini Hands Free 2:22 Design 3:10 Adventure Ready 4:16 New Health Platform 4:59 Should You Upgrade?   Add CNET as a trusted news source https://www.google.com/preferences/source?q=cnet.com Never miss a deal again! See CNET’s browser extension 👉 https://bit.ly/3lO7sOU Check out CNET’s Amazon Storefront: https://www.amazon.com/shop/cnet Subscribe to CNET on YouTube: https://www.youtube.com/cnet Follow us on TikTok: https://www.tiktok.com/@cnetdotcom Follow us on Instagram: https://www.instagram.com/cnet Follow us on Bluesky: https://bsky.app/profile/cnet.com Like us on Facebook: https://www.facebook.com/cnet CNET's AI Atlas: https://www.cnet.com/ai-atlas Follow us on X: https://www.x.com/cnet Visit CNET.com:  https://www.cnet.com  #samsungwatchultra #galaxywatch9 #samsung",54811,803,91
KREwxYlzH48,CNET,2024-07-25 12:00:27+00:00,Samsung Galaxy Watch Ultra and 7 Review: So Close to Being Truly Ultra,"Samsung finally has a big, bold watch worthy of the Ultra name, but it's the understated Galaxy Watch 7 that most people should get.  Samsung Galaxy Watch Ultra: https://cnet.us/jz9 Samsung Galaxy Watch 7: https://cnet.us/fmr *CNET may get a commission on these offers  Galaxy Watch 7 and Ultra Review: Samsung Squares Up Its Smartwatches https://bit.ly/3Sp7lKr  0:00 Galaxy Watch Ultra 0:10 Samsung Galaxy Watch Ultra and 7 Review 1:30 Cycling FTP Test 1:54 Design 3:14 Galaxy Watch 7 4:37 Sleep, Health and Recovery 6:45 Battery and Performance 8:39 Features and Gesture Control 10:01 Final Thoughts  Subscribe to CNET on YouTube: https://www.youtube.com/cnet Never miss a deal again! See CNET’s browser extension 👉 https://bit.ly/3lO7sOU Check out CNET’s Amazon Storefront: https://www.amazon.com/shop/cnet Follow us on TikTok: https://www.tiktok.com/@cnetdotcom Follow us on Instagram: https://www.instagram.com/cnet/ Follow us on X: https://www.x.com/cnet Like us on Facebook: https://www.facebook.com/cnet CNET's AI Atlas: https://www.cnet.com/ai-atlas/ Visit CNET.com:  https://www.cnet.com/  #galaxywatch #samsung #samsunggalaxy #smartwatch #galaxywatchultra",216627,2060,230
cezM72sUUpE,This is Tech Today,2024-07-18 22:01:49+00:00,Samsung Galaxy Watch Ultra Performance & Battery Life,,1728617,17255,190
FwT5FZPS43o,TechOdyssey,2026-07-29 18:05:10+00:00,Samsung Galaxy Watch Ultra 2 Review // Simply The Best!,"This is my review of the Samsung Galaxy Watch Ultra 2, and it's great! PREORDER HERE: https://click.linksynergy.com/deeplink?id=PmoDGtUOKOo&mid=47773&murl=https%3A%2F%2Fwww.samsung.com%2Fus%2Fwatches%2Fgalaxy-watch-ultra2%2F (affiliate)  The Samsung Galaxy Watch Ultra 2 is the new king of the smart watches, end even better than the Galaxy Watch Ultra! It's thinner, lighter, has a better band, brighter screen, bigger battery, and more! You're going to love it!  #samsung #samsunggalaxy #galaxywatchultra2 #trending",41328,888,240
6JxXQy9MSSA,TechTalkTV,2026-07-06 19:33:49+00:00,Samsung Galaxy Watch Ultra 2 - This Is INSANE,Samsung Galaxy Watch Ultra 2 will feature the brightest display ever put on a smartwatch. We also have official images of the bands of the Galaxy Watch Ultra 2 and Galaxy Watch 9. Samsung will launch the Galaxy Watch Ultra 2 and Galaxy Watch 9 at the Unpacked event on July 22nd.,137475,1980,228
I4XX8hXFn-g,Tech with Jerad,2026-04-03 18:10:23+00:00,Galaxy Watch Ultra Review: A Long-Time Apple Watch User's Honest Take,"Full Article: https://techwithjerad.com/reviews/smart-watches/samsung-galaxy-watch-ultra-2025-review/  I went all in. New phone, new watch, new earbuds — full Samsung ecosystem for 30 days. After nearly three weeks with the Galaxy Watch Ultra as my primary watch, replacing both my Apple Watch Ultra and my Garmin Fenix 8 Pro, here is my honest take.  📎 Galaxy Watch Ultra → https://jerad.link/galaxywatchultra2025 📎 Galaxy Buds Pro 4 → https://jerad.link/galaxybudspro4 📎 Torras OStand Q3 Air Case → https://techwithjerad.com/reviews/phone-cases/torras-ostand-q3-air-galaxy-s26-ultra-review/  👍 If you found this helpful, a like goes a long way. Thanks for watching.  TIMESTAMPS 0:00 — Why I switched to the Galaxy Watch Ultra 0:32 — My history with Android watches 1:02 — Watch face, UI, and navigation overview 1:30 — Quick settings and app drawer 1:58 — Workout tracking features and exercise modes 2:25 — Heart rate zones, audio guides, and power saving during workouts 2:56 — Cellular setup and number share experience 3:26 — Where cellular connectivity got inconsistent 3:50 — Battery life — real numbers with always-on display 4:51 — Comfort, band design, and wearability 5:21 — Band clasp: what I like and what needs improvement 5:50 — Button layout — back button, Gemini, Samsung Pay 6:16 — Always-on display and grayscale standby mode 7:08 — Build quality concerns — scratching and scuffing after two weeks 7:36 — Workout tracking accuracy — treadmill, bike, and outdoor runs 8:04 — Audio callouts and the workout experience 8:33 — Wear OS app ecosystem — Samsung apps vs. third-party 9:25 — Final verdict and who should buy it 10:19 — What's coming next — S26 Ultra review and Garmin comparison  ⚠️⚠️ Disclaimer: The content of this video is intended for viewers ages 13+. Jerad Hill Tech (Jerad Hill) is a participant in the Amazon Services LLC Associates Program and BHPhoto, affiliate advertising programs designed to provide a means for sites to earn advertising fees by advertising and linking to Amazon.com, BHPhoto, and affiliated sites, which means I may earn a commission if you make a purchase, at no extra cost to you.",2338,66,7
F6v3blKoc3E,zollotech,2024-07-25 16:35:01+00:00,"Samsung Galaxy Watch Ultra - Unboxing, Setup and Comparison","Samsung Galaxy Watch Ultra - Unboxing, Setup and Review - The all new Samsung Galaxy Watch Ultra brings ultra durability and ruggedness to the latest Samsung Watch.  Galaxy Watch Ultra is made of Titanium, has a Sapphire Crystal display covering and can withstand 100m of water.  In this video I unbox the Samsung Galaxy Watch Ultra, set it up, compare it with Apple Watch Ultra and also show you the features using a Samsung Galaxy S24 Ultra.  #Samsung #Ultra #android   Magnet Paper - https://geni.us/SteE  Galaxy Watch Ultra - https://howl.me/cmDMnbKu2kG S24 Ultra - https://howl.me/cluttOqbrxI  *Chapters* 00:00 - Start 00:18 - Price and Unboxing 02:38 - Magnets 02:54 - Design 04:23 - Apple Watch Ultra Comparison 04:45 - Display 05:28 - Specs 05:48 - Setup 06:20 - Battery 08:54 - Software Tour 10:08 - Software overview 11:43 - Watch Faces 12:54 - Other Features 13:30 - Final Thoughts 13:55 - Charging 14:40 - Conclusion   Recent Videos: iOS 18 Beta 4 is Out! - What’s New? - https://youtu.be/5sWWL-WIGzM iOS 18 is Huge! - 40+ More New Features and Changes - https://youtu.be/qUpYQ0ZUPE0 macOS 15 Sequoia - Every New Feature - https://youtu.be/9Zh-AXdEUgI watchOS 11 - Everything New - https://youtu.be/oPvQi7SlWA4 iOS 18 Beta 1 is Out! - What’s New? - https://youtu.be/eKgMuSvMIho   *Gear I use* 🎥📷 CAMERA:  https://geni.us/komodox Lens:  https://geni.us/WR3K4 🎤 Microphone - https://geni.us/DiN72zU  *Find Me Here* https://discord.gg/zollotech https://www.twitter.com/zollotech https://www.facebook.com/zollotech https://www.instagram.com/aaronzollo https://www.pinterest.com/zollotech  Website - https://www.zollotech.com Telegram - https://t.me/zollotechchat   Support ZOLLOTECH on Amazon:  http://amzn.to/2jxmglN  Wallpaper - https://bit.ly/3LKID3n   [DISCLOSURES] This post may contain affiliate links, which help Aaron / Zollotech with a commission if you make a purchase.  Thanks for watching and I’ll see you next time!",232615,2938,338
H4nIfppewYU,DesFit,2024-08-07 18:13:10+00:00,Samsung Galaxy Watch Ultra Review // Actually Accurate? Actually Ultra?,"In-depth sports and fitness review of the Samsung Galaxy Watch Ultra tested for running, weight, training, cycling, and more. You can get the Galaxy Watch Ultra here: https://geni.us/Galaxy_Watch_Ultra (affiliate link that helps support the channel - thanks!)  Thanks for watching!  /// Gear I Use /// Watch: https://geni.us/PabBCj Bike GPS: https://geni.us/6kXkH6 Chest Heart Rate Strap: https://geni.us/3b2gj Arm Heart Rate Strap: https://geni.us/BSLAWK Headphones: https://geni.us/B2is Affiliate links that help support the channel without any additional cost to you :)  /// Connect & Updates /// Twitter: https://twitter.com/GetDesFit Instagram: https://www.instagram.com/getdesfit/ Strava: https://www.strava.com/athletes/DesFit Facebook: https://www.facebook.com/GetDesFit  Videos may contain affiliate links which can help support and grow this channel with no extra cost to you. Thanks for your continued support.",216174,4149,284
-EbbRUFQUyk,Tech Spurt,2024-07-22 13:00:00+00:00,Samsung Galaxy Watch Ultra Review | Ultra-Fine?,"Reviewing the Samsung Galaxy Watch Ultra, a more rugged and premium smartwatch alternative to the Watch 7. This £599 wearable boasts a tough enough design for all of your outdoor fitness shenanigans. The Samsung Galaxy Watch Ultra can tolerate extreme temperatures and take a solid knock, with its Mil STD-810 passing grades.  Yes, that strap and square-ish frame might give this smartwatch Apple-esque vibes, but it's a WearOS device with Samsung's own features slapped on. You've got Play Store access to download fresh apps to the Galaxy Watch Ultra. Plus of course plenty of built-in fitness tracking features. Oh, and Bixby. Can't forget Bixby. No matter how many pints of whisky I smash.  The Samsung Galaxy Watch Ultra has okay-ish battery life, but the 60-ish hours I get from a full charge isn't as good as some rivals. Wear OS rivals like the OnePlus Watch 2 are superior in that department.  Performance is respectable however and the Samsung Galaxy Watch Ultra's super-bright screen is ideal for outdoor use. Add in the water resistance and rugged design, plus emergency features, and the Watch Ultra is good for a weekend away. Doing crazy stuff like cycling through canyons. Personally, I prefer a pint and pork.  So that's my review of the Samsung Galaxy Watch Ultra, let me know your thoughts below!  Samsung Galaxy Watch Ultra Review Chapters: 0:00 - How much?? 0:32 - Design 2:49 - Strap 3:32 - Display 4:41 - Buttons & UI 6:38 - Apps 7:49 - Performance 8:15 - Fitness tracking 10:40 - Samsung Health 11:51 - Battery life",179064,3988,398
RwgUBYhdY3c,DKHD,2026-07-21 18:55:24+00:00,Samsung Galaxy Watch Ultra 2 vs Galaxy Watch Ultra - A COMPLETE WINNER!,Samsung Galaxy Watch Ultra 2 vs Watch Ultra don't make a mistake!  In this video: - Watch ultra 2 vs watch ultra -  We are seeing a major breakthrough in internals of watch ultra 2 - Watch Ultra 2 vs watch ultra design explained - Galaxy Watch Ultra 2 vs Watch Ultra display explained - Watch Ultra 2 processor and other things explained - Watch Ultra 2 vs Watch Ultra battery shared!  #watchultra2 #samsung #galaxywatchultra2,11590,84,22
